created,tweet_text
Fri Feb 04 05:29:25 +0000 2022,"RT @jennycrappy: 윤기야… 우리 아빠도 방탄로고 알아…🙃 애들 우주댓슈스라고 누가 좀 알려주실분?ㅋㅋㅋㅋㅋㅋㅋ

the one and only song of the year is #BTS_Butter by #bts. no other ca…"
Fri Feb 04 05:29:23 +0000 2022,"RT @JJUNGKOOK_mona: 짜파구리에는 고기가 들어가야된다며 부담스럽겠지라 말하는 석진이 말에 또 바로 냉동실 열어보는 윤기ㅠㅠㅠ그러고는 바로 소고기 맛있게 구워서 동생들이랑 맛있게 먹었쨔나😭우리 방탄의 아빠엄마 맏형들💜

Listening…"
Fri Feb 04 05:29:20 +0000 2022,"RT @Olivia614: 🌂
방탄소년단 좌우명
무대를 달라
- SUGA
💙
- 21FESTA 우리가쓰는 방탄 프로필

#Butter #BestMusicVideo #iHeartAwards
@BTS_twt"
Fri Feb 04 05:29:18 +0000 2022,RT @BTS_twt: 우리이쁜탄이 연탄이방탄이~~~ 우쮸쮸 https://t.co/GnDqomINFR
Fri Feb 04 05:29:10 +0000 2022,"탑꾸 스티커탑꾸 탑꾸스티커 탑로더 판매 양도 포카 포토카드 슬리브 홀로그램 바인더 콜북 엔시티 몬스타엑스 방탄 투바투 미공포

각 0.4
5개 일괄 1.6

사진 참고해주세요! 궁금한 사항은 디엠 부탁드립니… https://t.co/aB2FDEHi6E"
Fri Feb 04 05:29:03 +0000 2022,"RT @PupleSuga: 🐱민윤기 칭찬감옥에 가둬.ᐟ.ᐟ.ᐟ

방탄 슈가 투명포카 프레임도안 나눔합니다

신경써서 만들었지만 스냅스 기준 1-2mm 
사이드가 잘릴 수 있다는 점 참고해주세요

💜PNG 저장 - 편집창 미리보기 확인💜
꼭 해주세요.…"
Fri Feb 04 05:28:59 +0000 2022,"RT @usBTSVOTE_4: 💜
🐰 어쨌든 이거는 결과가 딱 나오는 거잖아
🐿 이대로 하자
🐯 그래 이대로 하자
🐰 아니 둘이는 진, 남준 다 가져놓고!!
🐿 ㅎㅎㅎ
🐥 야 넌 나를 가졌어
💙
- 달려라 방탄 Ep136

#Butter #BestM…"
Fri Feb 04 05:28:58 +0000 2022,"RT @kookv0521: 사랑해 @BTS_twt 
방탄=아미 #BTSArmy 
아미=방탄 #BestFanArmy 
#iHeartAwards 
안다규? 알믄 된겨~💜 https://t.co/GJ1s8ufQ5F"
Fri Feb 04 05:28:58 +0000 2022,"RT @Bangtan_healing: 뮤비는 역시 방탄 👍 

#Butter #BestMusicVideo 
#iHeartAwards @BTS_twt https://t.co/FTa5P1C8bh"
Fri Feb 04 05:28:57 +0000 2022,"RT @usBTSVOTE_4: 🌔
방탄소년단의 매력 포인트
정말 특별할 거 같지만 의외로 소박하고 단순함..

- JHOPE
💝
- 21FESTA 우리가쓰는 방탄 프로필

#Butter #BestMusicVideo #iHeartAwards
@BTS_…"
Fri Feb 04 05:28:55 +0000 2022,"RT @namanglae: @bts_jiminny @bts7lovefor @BTS_twt 방탄이 방탄해줘서 너무 고맙죠
이쁜 남자들👍😍

#Butter #BestMusicVideo #iHeartAwards 
@BTS_twt"
Fri Feb 04 05:28:46 +0000 2022,"RT @shining_Suga707: @jj_a4bang4_7 @BTS_twt 제이님 감사해요💜
어제도 마셨는데 오늘도 한캔각인가요🍻🍻  ㅋㅋ
계속 열심히 행복하게 방탄해요☺☺💜
I vote for #BTSARMY for the #BestFanArm…"
Fri Feb 04 05:28:38 +0000 2022,박수영 레드벨벳 더보이즈 NCT 이주연 재현 남돌 여돌 증명사진 에이티즈 오마이걸 이달의소녀 SF9 해찬 찬희 재윤 진 지민 백현 세훈 슈가 아미 뉴이스트  스키즈 커미션 에버글로우 도안 커미션 여자아이들… https://t.co/RB9O6NGhBw
Fri Feb 04 05:28:32 +0000 2022,"RT @usBTSVOTE_4: 🎵
🐨 짱구는 도망가지 않아 도망가는 것은 언제나 흰둥이야
💝
- 달려라 방탄 Ep66

#Butter #BestMusicVideo #iHeartAwards
@BTS_twt"
Fri Feb 04 05:28:18 +0000 2022,"방탄 클라우드 베리 포카 판매합니다
I sell BTS Cloudberry photocards

일괄 50.0 

#희귀 남준 석진 윤기 호석 지민 태형 정국 진 슈가 뷔 알엠 제이홉 rm jin suga… https://t.co/sEepVUn31P"
Fri Feb 04 05:27:58 +0000 2022,@jungkook_notes 노트님💗 방탄시 챙기는거 넘넘 행복합니당🙆🏻‍♀️
Fri Feb 04 05:27:39 +0000 2022,"방탄소년단 방방콘 미니포카 양도해요! 디엠주세요 dm

all 2.5
준등기0.18/ gs반택 가능

방탄 bts 포카 포토카드 양도 남준 석진 윤기 호석 지민 태형 정국  photocards poca  r… https://t.co/ocFshYd9XK"
Fri Feb 04 05:27:37 +0000 2022,"RT @kingtan_wife_: 방탄 포카 양도해요 
SELL⭕️

둘 다 하자 ❌
배미포입니다

ㅅㅊㅇ) 방탄 방탄소년단 남준 석진 윤기 호석 지민 태형 정국 BTS 포카 미니포카 팔아요 사요 무료나눔 앨범 머오터 매직샵 메모리즈 블루레이 구해요…"
Fri Feb 04 05:27:33 +0000 2022,"아미에게 하고 싶은 말
🐨 우리가 서로의 삶에 좋은 의지와 귀감이길..!
늘 여러분을 보며 배우고 돌아보고 반성합니다.
올해도 부디 무사히... 저의 사랑을...💜
💖
- 20FESTA 우리가 쓰는 방탄 프… https://t.co/43n8upr6vb"
Fri Feb 04 05:27:32 +0000 2022,"RT @hitmanbang1216: #RT 랜박 1번 배미포 3만원입니다!

오,늘 포스터, 2019 시그 마우스패드, 콘서트 미니포카, 파리바게트 bt21 스노우볼, 방탄명언집, 앨범만 6개, 비공굿 등  양 많게 다양하게 있습니다!
구매 원하실…"
Fri Feb 04 05:27:31 +0000 2022,"RT @Rabbit710901: 우리 방탄도 아미도 지금까지 잘 해오지 않았나요? 떠다니는 말들이 너무 많은 걸 알지만 그런 말들은 다 걸러듣고 우리는 해오던 만큼 더 잘 하면 되는 걸요~ 오늘 다시 한 번 감사하고 저흰 더 열심히 할게요!
- RM…"
Fri Feb 04 05:27:11 +0000 2022,"RT @Bangtan_healing: 뮤비는 역시 방탄 👍 

#Butter #BestMusicVideo 
#iHeartAwards @BTS_twt https://t.co/FTa5P1C8bh"
Fri Feb 04 05:27:08 +0000 2022,"RT @ciiindxxxy: 이런 노고 끝에 방탄의 가장 좋은 음악이 탄생한다는 걸 알아 사랑해사랑해
I vote for #Butter for the #BestMusicVideo at the #iHeartAwards @BTS_twt https://t…"
Fri Feb 04 05:27:03 +0000 2022,"RT @2cool4skuy: Help RT 🙏 READY INA 

Wts / want to sell BTS photocard PC TAKE ALL ONLY. 

❌ NO REFUND OR RETURN
📍 Jakarta
✅ split payment…"
Fri Feb 04 05:26:59 +0000 2022,"RT @2cool4skuy: Help RT 🙏 READY INA 

Wts / want to sell BTS photocard PC TAKE ALL ONLY. 

❌ NO REFUND OR RETURN
📍 Jakarta
✅ split payment…"
Fri Feb 04 05:26:52 +0000 2022,"RT @BTS_twt: 방탄의 캡틴
제가!!  무지한 멤버들을 잘 이끌어서 훌륭한 팀을 만들겠습니다. http://t.co/TM67oy0ez1"
Fri Feb 04 05:26:45 +0000 2022,"RT @2cool4skuy: Help RT 🙏 READY INA 

Wts / want to sell BTS photocard PC TAKE ALL ONLY. 

❌ NO REFUND OR RETURN
📍 Jakarta
✅ split payment…"
Fri Feb 04 05:26:43 +0000 2022,#돌판트친소 방탄더보이즈위아이다수의여돌들좋아해요 친구가되주셈 제발
Fri Feb 04 05:26:24 +0000 2022,"RT @CAVO_030: 💜홉 생일 이벤트💜
☺︎ONLY ARMY
☺︎#rt 필수
☺︎추첨 날짜:호석날
!덕자2.0 또는 2.0 이하 방탄앨범! https://t.co/Zidkyg9IBh"
Fri Feb 04 05:25:50 +0000 2022,"RT @BTS04622610: 방탄 새 앨범 너무 고프다
(곡수 꽉꽉 채워서 와죠...💜)

컴백 전 12시 떡밥 기다리는것도
넘 그립고 다크써클 달아도
진짜 행복한 시간들이라 기대되 🥰
아미들 궁예 넘 열심히 하는데
다 틀리는것도 귀엽고 재미써ㅋㅋ…"
Fri Feb 04 05:25:41 +0000 2022,"방탄소년단 정국 전정국 포카 양도합니다 

📦 포카 일괄 구매시 배송비 무료!!
If you buy all the photo cards in the picture, it's free of charge.

●… https://t.co/ejtVnQjljk"
Fri Feb 04 05:25:25 +0000 2022,"방탄소년단 지민 남준 석진 호석포카 양도합니다 

📦 포카 일괄 구매시 배송비 무료!!
If you buy all the photo cards in the picture, it's free of charge… https://t.co/O54hKTWGTs"
Fri Feb 04 05:25:24 +0000 2022,"RT @JJUNGKOOK_mona: 짜파구리에는 고기가 들어가야된다며 부담스럽겠지라 말하는 석진이 말에 또 바로 냉동실 열어보는 윤기ㅠㅠㅠ그러고는 바로 소고기 맛있게 구워서 동생들이랑 맛있게 먹었쨔나😭우리 방탄의 아빠엄마 맏형들💜

Listening…"
Fri Feb 04 05:24:49 +0000 2022,"RT @Yeonmot_bts: 방탄 보라해~~💜💜
I vote for #BTSARMY for #BestFanArmy at the #iHeartAwards 2022 @BTS_twt https://t.co/a6Hhx4E82S"
Fri Feb 04 05:24:23 +0000 2022,"RT @ciiindxxxy: 이런 노고 끝에 방탄의 가장 좋은 음악이 탄생한다는 걸 알아 사랑해사랑해
I vote for #Butter for the #BestMusicVideo at the #iHeartAwards @BTS_twt https://t…"
Fri Feb 04 05:24:19 +0000 2022,"RT @2cool4skuy: Help RT 🙏 READY INA 

Wts / want to sell BTS photocard PC TAKE ALL ONLY. 

❌ NO REFUND OR RETURN
📍 Jakarta
✅ split payment…"
Fri Feb 04 05:24:15 +0000 2022,"RT @TBONBSM: #rt 3.0 드립니다 
타돌포카는 시세를 잘 몰라서 제시 받아용!
많이 구매하시면 할인 많이 해드립니다!
#아미트친소 태그 빌려요!
ㅅㅊㅇ 방탄 rm 진 suga 제이홉 지민 v 정국 김남준 김석진 민윤기 정호석 박지민 김태…"
Fri Feb 04 05:23:56 +0000 2022,"RT @hashryne: wts boston mute bag by taehyung

selling for $350 w/ free shipping worldwide 

price is negotiable ☺️

dm if interested 💜

[b…"
Fri Feb 04 05:23:45 +0000 2022,"RT @think14260: 강릉가자 강릉가고 싶어 했더니 
그래 가보자 하고 호응 해준 넘편과 아들들 
아침 일찍 달려온 여기 주문진 봄날앨범 촬영지 방탄정류장 캬~아 
나두 여기에 왔다 💜
I vote for #BTSARMY for the #Be…"
Fri Feb 04 05:23:40 +0000 2022,"RT @JJUNGKOOK_mona: 짜파구리에는 고기가 들어가야된다며 부담스럽겠지라 말하는 석진이 말에 또 바로 냉동실 열어보는 윤기ㅠㅠㅠ그러고는 바로 소고기 맛있게 구워서 동생들이랑 맛있게 먹었쨔나😭우리 방탄의 아빠엄마 맏형들💜

Listening…"
Fri Feb 04 05:23:14 +0000 2022,"방탄 지민 슬로건 2장 1.0 
우체국택배만 가능 택배비0.3 
#방탄소년단 #지민 https://t.co/hlHtCXWDwG"
Fri Feb 04 05:23:05 +0000 2022,"어젯밤 안방서 탐라 구경 중인데 거실에서 짝꿍이 “으아악!!” 하길래 무슨 일인가 해서 나가 보니..
자기도 모르게 “왜 내맘을 흔드는 곤데~ 왜 내맘을 흔드는 곤데~” 불렀다고 자기 머리를 쥐어 뜯고 있었… https://t.co/Eh92AN36K8"
Fri Feb 04 05:23:01 +0000 2022,"RT @PupleSuga: 🐱민윤기 칭찬감옥에 가둬.ᐟ.ᐟ.ᐟ

방탄 슈가 투명포카 프레임도안 나눔합니다

신경써서 만들었지만 스냅스 기준 1-2mm 
사이드가 잘릴 수 있다는 점 참고해주세요

💜PNG 저장 - 편집창 미리보기 확인💜
꼭 해주세요.…"
Fri Feb 04 05:22:56 +0000 2022,"RT @uarmyyouth: ♥호석이 생일 이벤트♡ 

🐿 #rt + #follow 
🐿only army
🐿호석날 방탄시
🐿실바니안 호두다람쥐 쌍둥이 인형

2월의 해가 밝았습니다.ᐟ 울 호비의 달.ᐟ.ᐟ.ᐟ 모두들 설 잘 보내시고 복 많이 받으시구…"
Fri Feb 04 05:22:55 +0000 2022,"RT @hashryne: wts boston mute bag by taehyung

selling for $350 w/ free shipping worldwide 

price is negotiable ☺️

dm if interested 💜

[b…"
Fri Feb 04 05:22:40 +0000 2022,"RT @BTS04622610: 방탄 새 앨범 너무 고프다
(곡수 꽉꽉 채워서 와죠...💜)

컴백 전 12시 떡밥 기다리는것도
넘 그립고 다크써클 달아도
진짜 행복한 시간들이라 기대되 🥰
아미들 궁예 넘 열심히 하는데
다 틀리는것도 귀엽고 재미써ㅋㅋ…"
Fri Feb 04 05:22:39 +0000 2022,"방탄 포카 양도
BTS poca sell

승허 호석-0.5
앤써 태형-1.0

All 1.5(with shipping fee)

방탄 알엠 진 슈가 제이홉 지민 뷔 정국
bts rm jin suga jho… https://t.co/LyG1zudQN4"
Fri Feb 04 05:22:37 +0000 2022,"RT @BTS04622610: 방탄 새 앨범 너무 고프다
(곡수 꽉꽉 채워서 와죠...💜)

컴백 전 12시 떡밥 기다리는것도
넘 그립고 다크써클 달아도
진짜 행복한 시간들이라 기대되 🥰
아미들 궁예 넘 열심히 하는데
다 틀리는것도 귀엽고 재미써ㅋㅋ…"
Fri Feb 04 05:22:20 +0000 2022,"RT @JJUNGKOOK_mona: 짜파구리에는 고기가 들어가야된다며 부담스럽겠지라 말하는 석진이 말에 또 바로 냉동실 열어보는 윤기ㅠㅠㅠ그러고는 바로 소고기 맛있게 구워서 동생들이랑 맛있게 먹었쨔나😭우리 방탄의 아빠엄마 맏형들💜

Listening…"
Fri Feb 04 05:22:06 +0000 2022,@iluvmyeon 오와우.. 방탄소속사 이름이 하이브였군요...
