created,tweet_text
Fri Feb 04 05:22:05 +0000 2022,"RT @sjrnfl_16: 방탄 포카 양도해요
급처 일괄 택포 3.5

방탄소년단 시즌그리팅썸패 썸머패키지 dvd 윙즈 머스터 메모리즈 컨셉북 화에필 버스카드 나우 럽셀 시그 디비디 딥디 화온스 화양연화 머삼터 머사터 머오터 매직샵 스픽콘 럽셀콘 1…"
Fri Feb 04 05:22:03 +0000 2022,"RT @hashryne: wts boston mute bag by taehyung

selling for $350 w/ free shipping worldwide 

price is negotiable ☺️

dm if interested 💜

[b…"
Fri Feb 04 05:21:58 +0000 2022,약간 오르테카의 외투 디자인이랑 페닉스 방탄인지 모를 조끼 디자인 비슷하지 않나요. 아님 말고..
Fri Feb 04 05:21:57 +0000 2022,"방탄 진 쩔어 포카 양도합니다

택포 2.5 (가격내림)
준등기만 가능

방탄 김석진 진 포토카드 시즌그리팅 티얼즈 러브유얼셀프 메모리즈 머스터 윙즈 쩔어 포에버영 디비디 페스타 bts jin 비공굿 포토카… https://t.co/Pm2mX0swot"
Fri Feb 04 05:21:51 +0000 2022,"방탄 더 베스트 양도

Type A , Standard  
일괄  20,000krw

배송비 포함
Paypal ok  Eng ok

ㅅㅊㅇ)방탄소년단 앨범 포카 BTS BE 럭드 머스터 매직샵 위버스 https://t.co/INRqNmty1b"
Fri Feb 04 05:21:50 +0000 2022,"@StayAlive9339 @BTS_twt 헉... 무지 찔리는데요...
Pied Piper 외면하고 있었는데... ㅎ
여정님 말 듣고 갔다와야겠어요.
그리고 떳떳하게 방탄하렴니다!!

여정님도 방탄하세요💜… https://t.co/wbHWLdxA8W"
Fri Feb 04 05:21:50 +0000 2022,RT @BTS_twt: 우리이쁜탄이 연탄이방탄이~~~ 우쮸쮸 https://t.co/GnDqomINFR
Fri Feb 04 05:21:47 +0000 2022,"wts boston mute bag by taehyung

selling for $350 w/ free shipping worldwide 

price is negotiable ☺️

dm if intere… https://t.co/cwZc0AksNW"
Fri Feb 04 05:21:35 +0000 2022,"RT @bts_bighit: [#방탄밤] 방탄이들의 소중한 브레이크 타임! 🍽️ 🎶
방탄 대표 먹짱 정국이 진두지휘한 먹방 현장으로! 🥗
#잘먹소년단 #모두_쩝쩝박사를_따르라🍴 #먹방_가보자고
(https://t.co/SOuIFa7qu3)"
Fri Feb 04 05:21:34 +0000 2022,"RT @ent_store: #rt 제가 개인적으로 기분 좋은 일 생겨서 하는 데코덴 레진 탑로더 이벵!

당발은 2월 11일! 배송비 제가 부담합니다! 

레진 레진탑꾸 레진탑꾸판매 레진탑로더 탑로더 탑꾸 판매 레진 레진탑꾸 탑로더 분철 스티커 포토…"
Fri Feb 04 05:21:28 +0000 2022,"RT @BTS_twt: 안녕하세요 저는 오늘부터 방탄 트위터를 같이 쓸 ""진"" 입니다! 잘 부탁 드려요~~ 자주 만나용ㅋㅋ http://t.co/ti6vdX9g"
Fri Feb 04 05:21:24 +0000 2022,"RT @taehyung_00109: 방탄소년단 온콘 2020 메모리즈 DVD 디비디 딥디 양도해요 모두 포카 제외 풀박입니다 온콘 디비디 포토 티켓 있고 매모리즈 오늘의 방탄북 있어요!

온콘 - 1.0
2020 메모리즈 - 2.0

남준 석진 윤기…"
Fri Feb 04 05:21:23 +0000 2022,"RT @luv_you530: 방탄소년단 매직샵 티켓 홀더 포카 양도합니다!

진, 슈가 : 7.0
지민, 정국 : 13.0

디엠주세요! 제시도 받습니다!

방탄 bts rm jin suga jhope jimin v jungkook 석진 남준 윤기…"
Fri Feb 04 05:21:20 +0000 2022,"RT @JJUNGKOOK_mona: 짜파구리에는 고기가 들어가야된다며 부담스럽겠지라 말하는 석진이 말에 또 바로 냉동실 열어보는 윤기ㅠㅠㅠ그러고는 바로 소고기 맛있게 구워서 동생들이랑 맛있게 먹었쨔나😭우리 방탄의 아빠엄마 맏형들💜

Listening…"
Fri Feb 04 05:21:16 +0000 2022,방탄포카 공식 매직샵 윙파 윙즈 메모리즈포카 머스터 럽셀콘 맵솔온 맵솔원 be에센셜 방탄소년단 제이홉 bts 공방 엔시티 양도 맵솔포카 프포 소우주 페스타분활 태형 정국 지민 슈가 남준 디럭스 상파울루 블루레이 뉴욕 유럽
Fri Feb 04 05:21:16 +0000 2022,방탄포카 bts 아미부스 아니쥬 쩔어 런 공방포카 미니포카 방탄포카양도 공방포카 메모리즈 블루레이 일직샵 일본 매직샵 일본 라이츠 방탄포토카드 태형포카 스에 윙즈 이벤트 일본 요코하마 키미니토도쿠 너에게 닿기를 일본 팬미팅 dvd 디비디
Fri Feb 04 05:21:16 +0000 2022,방탄 방탄소년단 BTS 남준 석진 윤기 호석 지민 태형 정국 RM JIN SUGA JH JM V JK 굿즈 포토카드 포카 판매 양도 교환 소우주 미니포카 POCA 앨범 디비디 매직샵 윙즈
Fri Feb 04 05:21:15 +0000 2022,방탄 방탄소년단 BTS 남준 석진 윤기 호석 지민 태형 정국 RM JIN SUGA JH JM V JK 굿즈 포토카드 포카 판매 양도 교환 소우주 미니포카 POCA 앨범 디비디 매직샵 스픽콘 럽셀콘 SYS L… https://t.co/akGI01FqMg
Fri Feb 04 05:21:02 +0000 2022,RT @team_ksj: 주니 인스타에 태그된 곰리.. 근데 곰리라는 예술가를 내가 아는 이유가 분명 방탄때문이었던 기억이라서 찾아봤더니 예전에 커넥트 비티에스 할 때 같이하신 분이었어
Fri Feb 04 05:21:02 +0000 2022,"RT @2cool4skuy: Help RT 🙏 READY INA 

Wts / want to sell BTS photocard PC TAKE ALL ONLY. 

❌ NO REFUND OR RETURN
📍 Jakarta
✅ split payment…"
Fri Feb 04 05:20:49 +0000 2022,"방탄소년단 앨범 판매
포카를 제외한 구성 다 있습니다.(CD⭕)

가격사진참고
0.2=2000Won

*Only Korea address, 
Only Korean account*

❌Paypal❌

즉입우대… https://t.co/kPd2QCUqfT"
Fri Feb 04 05:20:46 +0000 2022,"RT @ciiindxxxy: 이런 노고 끝에 방탄의 가장 좋은 음악이 탄생한다는 걸 알아 사랑해사랑해
I vote for #Butter for the #BestMusicVideo at the #iHeartAwards @BTS_twt https://t…"
Fri Feb 04 05:20:38 +0000 2022,"bts 방탄 피땀눈물 공방 포카 태형 뷔 V 포카 
+ 손그림 스티커 4종 (진, 슈가, 지민, 뷔) 
Price : 42.0 (배송비 별도 추가, Separately shipping fee)

상태 좋습니… https://t.co/ZcjDfQ5UHW"
Fri Feb 04 05:20:32 +0000 2022,"RT @lexi_btslove: #Rt #Follow 하시면 호석날 맞이 한 분께 아래 포카 두 장을 드려요
⛄하자 없는 포카입니다
⛄배송방법은 당첨자분께서 고르시는 걸로 하겠습니다
⛄배송비 제가 냅니다
⛄당발은 호석날 방탄시에 하도록 하겠습니다
⛄…"
Fri Feb 04 05:20:32 +0000 2022,"RT @kyspjm1013: 방뫄닝~~~☕😊
방탄하며  따뜻한 하루 보내세요

#BTSARMY #BestFanArmy #iHeartAwards 
@BTS_twt https://t.co/NZgWy02oUd"
Fri Feb 04 05:20:08 +0000 2022,"RT @yuono8672: 방탄소년단 슈가 슈키 양도

일괄 1.0 
DM주세요~~

ㅅㅊㅇ 방탄소년단 BTS 뷔 김태형 정국 전정국 제이홉 정호석 RM 김남준 진 김석진 슈가 민윤기 지민 박지민 포카 앨범 양도 판매 팔아요 굿즈 방탄 BT21 se…"
Fri Feb 04 05:20:07 +0000 2022,"방탄소년단 스티커팩 판매합니다!
0.2

bts 방탄 굿즈 판매 포카 화양연화 윙파콘 럽셀콘 goods sell 남준 석진 윤기 호석 지민 태형 정국 rm jin suga jhope jimin v jungk… https://t.co/GPjPVHSF5L"
Fri Feb 04 05:19:58 +0000 2022,"RT @BTS04622610: 방탄 새 앨범 너무 고프다
(곡수 꽉꽉 채워서 와죠...💜)

컴백 전 12시 떡밥 기다리는것도
넘 그립고 다크써클 달아도
진짜 행복한 시간들이라 기대되 🥰
아미들 궁예 넘 열심히 하는데
다 틀리는것도 귀엽고 재미써ㅋㅋ…"
Fri Feb 04 05:19:56 +0000 2022,"RT @BTS04622610: 방탄 새 앨범 너무 고프다
(곡수 꽉꽉 채워서 와죠...💜)

컴백 전 12시 떡밥 기다리는것도
넘 그립고 다크써클 달아도
진짜 행복한 시간들이라 기대되 🥰
아미들 궁예 넘 열심히 하는데
다 틀리는것도 귀엽고 재미써ㅋㅋ…"
Fri Feb 04 05:19:53 +0000 2022,"RT @JJUNGKOOK_mona: 짜파구리에는 고기가 들어가야된다며 부담스럽겠지라 말하는 석진이 말에 또 바로 냉동실 열어보는 윤기ㅠㅠㅠ그러고는 바로 소고기 맛있게 구워서 동생들이랑 맛있게 먹었쨔나😭우리 방탄의 아빠엄마 맏형들💜

Listening…"
Fri Feb 04 05:19:50 +0000 2022,"방탄소년단 2019 시즌그리팅 양도
Each⭕️ All⭕️

방탄 bts army zip kit 2019 season's greetings rm jin suga j-hope jimin v jungkook j… https://t.co/FZT1NipGGi"
Fri Feb 04 05:19:37 +0000 2022,"방탄소년단 love yourself 석진 앨범 포카 양도합니다  

0.9 goods sell 
BTS 방탄 rm jin suga jhope jimin v jk 남준 석진 윤기 호석 지민 태형 정국 앨포 앨… https://t.co/Cj2X97V2ew"
Fri Feb 04 05:19:36 +0000 2022,"마이노멀 방탄 버터커피, 230ml, 24개 https://t.co/v6MhhF6udL 파트너스 활동으로 수수료를 받을수 있어요27 https://t.co/KTcIg60hWC"
Fri Feb 04 05:19:28 +0000 2022,"#방탄소년단 #포카양도
방탄포카 양도합니다!

하자❌  준등기만 가능 +0.18
입금하실 때 준등기 비용 포함해서 보내주세요‼️
편하게 디엠주세요💖

방탄 포카 양도 김태형 뷔 럽셀 https://t.co/CIfz5qjnN7"
Fri Feb 04 05:19:28 +0000 2022,"RT @_Aaiing: 방탄소년단 포카 양도합니다
디엠 주시면 같이 가격 정해봐요!

방탄소년단 포카 방탄포카 남준 석진 윤기 호석 지민 태형 정국 포카 드볼 럽셀 버터 맵솔 페르소나 화양연화 티어 앤써 드나 일괄 양도 에눌 교환 앨범 디비디 포토카…"
Fri Feb 04 05:19:26 +0000 2022,"RT @ent_store: #rt 제가 개인적으로 기분 좋은 일 생겨서 하는 데코덴 레진 탑로더 이벵!

당발은 2월 11일! 배송비 제가 부담합니다! 

레진 레진탑꾸 레진탑꾸판매 레진탑로더 탑로더 탑꾸 판매 레진 레진탑꾸 탑로더 분철 스티커 포토…"
Fri Feb 04 05:19:24 +0000 2022,"RT @kyspjm1013: 방뫄닝~~~☕😊
방탄하며  따뜻한 하루 보내세요

#BTSARMY #BestFanArmy #iHeartAwards 
@BTS_twt https://t.co/NZgWy02oUd"
Fri Feb 04 05:19:24 +0000 2022,"#남돌취향
엑소:세훈
방탄:진
샤이니:쫑.키
빅뱅:탑
인피니트:엘
세븐틴:윤정한 씨
엔하이픈:제이
온앤오프:부리부리이션 씨
더보이즈: 영훈
비투비: 육성재 씨
몬스타엑스: 민혁 씨
슈퍼주니어 : 동해"
Fri Feb 04 05:19:24 +0000 2022,"All 2.8

#아미트친소
ㅅㅊㅇ 방탄 bts 남준 석진 윤기 호석 지민 태형 정국 포카 판매 양도 일괄 매직샵 일본 뉴욕 윈패 디비디 메모리즈 윈패 페스타 분할 프포 피켓 쩔어 맵솔 페르소나 봄날 드볼… https://t.co/jNYVbflFlS"
Fri Feb 04 05:19:23 +0000 2022,"방탄소년단 아미 5기 키트 양도합니다
개별 판매⭕️ 일괄 판매⭕️
Each / All ⭕️

방탄 bts army zip 5th kit rm jin suga j-hope jimin v jungkook jk… https://t.co/YyWbMDPVUo"
Fri Feb 04 05:19:07 +0000 2022,"마이노멀 방탄 버터커피, 230ml, 10개 https://t.co/Cub5Kj0Nxo 파트너스 활동으로 수수료를 받을수 있어요18 https://t.co/zDB9RfrE1v"
Fri Feb 04 05:19:02 +0000 2022,"방탄소년단 럽셀콘 머스터 미니포카 양도합니다

Each 0.8 / 여러 개 사면 에눌 가능⭕️

방탄 bts rm jin suga j-hope jimin v jungkook jk taehyung jm jh… https://t.co/EAxeGAaAQG"
Fri Feb 04 05:18:49 +0000 2022,"RT @rjforP613: #RT #양도 #판매
BTS LoveYourself 앨범 스페셜 단체 포카
가격 ➡️ 준포 1.5
하자xx / 연락주시면 확인시켜드려요

방탄소년단 진 RM 제이홉 슈가 뷔 정국 지민 bts 럽유셀 앨범 방탄앨범 스페셜 스…"
Fri Feb 04 05:18:48 +0000 2022,"RT @ent_store: #rt 제가 개인적으로 기분 좋은 일 생겨서 하는 데코덴 레진 탑로더 이벵!

당발은 2월 11일! 배송비 제가 부담합니다! 

레진 레진탑꾸 레진탑꾸판매 레진탑로더 탑로더 탑꾸 판매 레진 레진탑꾸 탑로더 분철 스티커 포토…"
Fri Feb 04 05:18:47 +0000 2022,"방탄소년단 오늘 전시회 호석 인화사진 양도합니다

All 1.2

방탄 bts rm jin suga j-hope jimin v jungkook jk taehyung jm jh yoongi seokjin na… https://t.co/Vmc9h3j9rA"
Fri Feb 04 05:18:42 +0000 2022,"RT @fourcar_12: 🥰주접 스티커 도안 공유🥰

다이어리 꾸미기 다꾸 탑꾸 탑로더꾸미기 등 사용가능

투명포카도안 공유 투명포카 프레임 공유
엔시티 nct 더보이즈 에스파 방탄 세븐틴 태일 태용 유타 재현 정재현 런쥔 황인준 천러 산리오 타…"
Fri Feb 04 05:18:40 +0000 2022,"RT @cafemartinique: 호석이의 생일을 맞아🐿
생일이벤트를 준비합니다🎉

기간: 
2월 17일 [목요일] ~ 2월 20일 [일요일] 

방탄과 아미의 희망둥이 호비에게
#So_thanks_우리의_희망이_돼줘서

상세내용은 사진을 참고 부…"
Fri Feb 04 05:18:37 +0000 2022,"RT @BTS_twt: 방탄생일 축하해 주셔서 감사해요
저도 작은 선물 준비했어요
 ☺️🙏❤️
#JIMIN
#방탄생일ㅊㅋ https://t.co/lhuEliUCgf"
Fri Feb 04 05:18:32 +0000 2022,"방탄소년단 아미 6기 키트 양도합니다
개별 판매⭕️ 일괄 판매⭕️
Each / All ⭕️

방탄 bts army zip 6th kit rm jin suga j-hope jimin v jungkook jk… https://t.co/ZRbTckeZ1F"
Fri Feb 04 05:18:30 +0000 2022,강제 휴가라 번더스 정주행. 방탄 다큐랑 인더숲 너무 조아. 무대도 좋아하지만 남준이 말대로 무대 아래가 조금 더 조아. 호흡이 길어서 더 많이 볼수 있어서. 그리고 따뜻한 타인의 시선이 포함되어 있어서. https://t.co/DEeyTFK8Zs
