시도명,시군구명,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격
강원,고성군,0.0,0.0,20.0,0.0,26.666666666666668,86.66666666666667,86.66666666666667,166.66666666666666,0.0,920.0,0.0,0.0,803.3333333333334,0.0,0.0
강원,동해시,0.0,0.0,0.0,0.0,0.0,150.0,290.0,560.0,0.0,1350.0,0.0,0.0,2700.0,0.0,0.0
강원,삼척시,0.0,0.0,0.0,0.0,16.666666666666668,26.666666666666668,100.0,290.0,0.0,236.66666666666666,0.0,0.0,470.0,0.0,0.0
강원,속초시,12.5,0.0,0.0,0.0,20.0,50.0,150.0,300.0,137.5,237.5,0.0,350.0,1175.0,0.0,0.0
강원,양구군,0.0,0.0,0.0,0.0,46.666666666666664,80.0,140.0,436.6666666666667,260.0,1050.0,0.0,0.0,2053.3333333333335,0.0,0.0
강원,양양군,0.0,0.0,10.0,0.0,15.0,45.0,85.0,340.0,125.0,415.0,0.0,307.5,815.0,0.0,0.0
강원,영월군,0.0,0.0,0.0,0.0,0.0,70.0,120.0,230.0,0.0,600.0,0.0,0.0,1200.0,0.0,0.0
강원,원주시,0.0,0.0,26.666666666666668,0.0,66.66666666666667,170.0,320.0,680.0,0.0,1126.6666666666667,0.0,833.3333333333334,0.0,0.0,0.0
강원,인제군,0.0,0.0,40.0,0.0,60.0,90.0,150.0,300.0,0.0,740.0,0.0,0.0,1470.0,1700.0,0.0
강원,정선군,0.0,0.0,13.333333333333334,0.0,16.666666666666668,26.666666666666668,150.0,280.0,430.0,700.0,0.0,0.0,920.0,0.0,0.0
강원,철원군,0.0,0.0,0.0,0.0,0.0,100.0,170.0,350.0,0.0,850.0,0.0,0.0,1700.0,0.0,0.0
강원,춘천시,10.0,0.0,12.5,0.0,40.0,105.0,230.0,470.0,0.0,285.0,0.0,427.5,0.0,0.0,0.0
강원,태백시,0.0,0.0,0.0,0.0,0.0,100.0,190.0,370.0,0.0,890.0,0.0,1320.0,0.0,0.0,0.0
강원,평창군,0.0,0.0,0.0,0.0,17.5,232.5,195.0,682.5,0.0,295.0,0.0,440.0,587.5,0.0,0.0
강원,홍천군,0.0,0.0,22.5,0.0,35.0,6.0,230.0,450.0,0.0,555.0,0.0,0.0,1100.0,0.0,0.0
강원,화천군,0.0,0.0,50.0,0.0,60.0,70.0,120.0,230.0,233.33333333333334,373.3333333333333,0.0,0.0,740.0,0.0,0.0
강원,횡성군,0.0,0.0,0.0,0.0,20.0,33.333333333333336,200.0,400.0,200.0,653.3333333333334,0.0,1000.0,0.0,0.0,0.0
경기,가평군,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,1000.0,0.0,1500.0,2000.0,0.0,0.0
경기,고양시,16.666666666666668,0.0,30.0,0.0,80.0,120.0,496.6666666666667,886.6666666666666,0.0,1340.0,0.0,880.0,0.0,0.0,0.0
경기,과천시,10.0,0.0,40.0,0.0,46.666666666666664,80.0,230.0,440.0,0.0,733.3333333333334,0.0,0.0,733.3333333333334,0.0,0.0
경기,광명시,40.0,50.0,60.0,0.0,90.0,140.0,260.0,500.0,750.0,1240.0,0.0,1850.0,2450.0,0.0,0.0
경기,광주시,0.0,10.0,0.0,0.0,20.0,70.0,210.0,820.0,210.0,1350.0,0.0,525.0,0.0,0.0,0.0
경기,구리시,0.0,0.0,0.0,0.0,90.0,140.0,260.0,510.0,0.0,1250.0,0.0,0.0,2470.0,0.0,0.0
경기,군포시,33.333333333333336,0.0,33.333333333333336,0.0,46.666666666666664,163.33333333333334,416.6666666666667,2500.0,0.0,740.0,0.0,1110.0,0.0,0.0,0.0
경기,김포시,0.0,14.0,0.0,0.0,28.0,120.0,242.0,686.0,0.0,1700.0,0.0,1800.0,0.0,0.0,0.0
경기,남양주시,0.0,0.0,0.0,0.0,0.0,190.0,370.0,740.0,1110.0,1850.0,0.0,2780.0,0.0,0.0,0.0
경기,동두천시,10.0,0.0,16.666666666666668,0.0,23.333333333333332,80.0,166.66666666666666,1033.3333333333333,0.0,1616.6666666666667,0.0,666.6666666666666,0.0,0.0,0.0
경기,부천시,30.0,0.0,60.0,0.0,90.0,150.0,300.0,600.0,900.0,1500.0,0.0,2250.0,0.0,0.0,0.0
경기,성남시,5.0,0.0,12.5,0.0,20.0,182.5,352.5,675.0,0.0,312.5,0.0,470.0,0.0,0.0,0.0
경기,수원시,10.0,0.0,20.0,0.0,30.0,125.0,325.0,500.0,0.0,875.0,0.0,562.5,0.0,0.0,0.0
경기,시흥시,11.428571428571429,0.0,22.857142857142858,0.0,72.85714285714286,62.857142857142854,238.57142857142858,480.0,662.8571428571429,1181.4285714285713,0.0,935.7142857142857,745.7142857142857,0.0,0.0
경기,안산시,20.0,0.0,30.0,0.0,90.0,130.0,250.0,500.0,0.0,1200.0,0.0,0.0,2400.0,0.0,0.0
경기,안성시,20.0,0.0,40.0,0.0,70.0,110.0,220.0,440.0,0.0,1100.0,0.0,0.0,2200.0,0.0,0.0
경기,안양시,0.0,8.333333333333334,0.0,13.333333333333334,0.0,75.0,250.0,625.0,0.0,883.3333333333334,0.0,0.0,933.3333333333334,0.0,0.0
경기,양주시,20.0,0.0,0.0,0.0,60.0,100.0,200.0,1066.6666666666667,0.0,2166.6666666666665,0.0,750.0,0.0,0.0,0.0
경기,양평군,12.5,0.0,0.0,0.0,22.5,107.5,412.5,667.5,210.0,350.0,0.0,525.0,0.0,0.0,0.0
경기,여주시,10.0,0.0,16.666666666666668,0.0,23.333333333333332,80.0,230.0,460.0,0.0,766.6666666666666,0.0,0.0,766.6666666666666,0.0,0.0
경기,연천군,0.0,0.0,0.0,0.0,35.0,65.0,145.0,280.0,0.0,670.0,0.0,0.0,1375.0,0.0,0.0
경기,오산시,10.0,0.0,20.0,0.0,57.5,125.0,240.0,835.0,180.0,800.0,0.0,500.0,0.0,0.0,0.0
경기,의왕시,26.666666666666668,0.0,53.333333333333336,0.0,80.0,196.66666666666666,500.0,986.6666666666666,0.0,566.6666666666666,0.0,0.0,1100.0,0.0,0.0
경기,의정부시,10.0,0.0,0.0,30.0,36.666666666666664,190.0,340.0,670.0,0.0,600.0,0.0,1100.0,0.0,0.0,0.0
경기,이천시,25.0,0.0,0.0,0.0,55.0,175.0,340.0,670.0,0.0,1665.0,0.0,1180.0,0.0,0.0,0.0
경기,파주시,30.0,0.0,50.0,0.0,70.0,220.0,410.0,800.0,595.0,975.0,0.0,1455.0,1935.0,0.0,0.0
경기,평택시,0.0,13.333333333333334,0.0,0.0,26.666666666666668,130.0,250.0,500.0,0.0,416.6666666666667,0.0,626.6666666666666,0.0,0.0,0.0
경기,포천시,0.0,0.0,0.0,0.0,0.0,46.666666666666664,186.66666666666666,560.0,560.0,933.3333333333334,0.0,700.0,0.0,0.0,0.0
경기,하남시,0.0,0.0,0.0,0.0,40.0,65.0,260.0,500.0,0.0,620.0,0.0,930.0,1235.0,0.0,0.0
경기,화성시,15.0,0.0,0.0,0.0,45.0,177.5,347.5,697.5,0.0,675.0,0.0,0.0,675.0,0.0,0.0
경남,거제시,0.0,0.0,0.0,0.0,75.0,125.0,175.0,325.0,0.0,900.0,0.0,1375.0,1850.0,0.0,0.0
경남,거창군,0.0,0.0,0.0,0.0,16.666666666666668,33.333333333333336,133.33333333333334,266.6666666666667,0.0,653.3333333333334,0.0,0.0,1306.6666666666667,0.0,0.0
경남,고성군,0.0,0.0,0.0,0.0,0.0,100.0,200.0,400.0,600.0,1000.0,0.0,0.0,2000.0,0.0,0.0
경남,김해시,0.0,0.0,0.0,0.0,0.0,200.0,400.0,800.0,0.0,2400.0,0.0,3600.0,0.0,0.0,0.0
경남,남해군,0.0,0.0,0.0,0.0,0.0,100.0,200.0,400.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
경남,밀양시,0.0,0.0,0.0,0.0,0.0,70.0,246.66666666666666,466.6666666666667,0.0,1146.6666666666667,0.0,853.3333333333334,0.0,0.0,0.0
경남,사천시,0.0,0.0,0.0,0.0,26.666666666666668,86.66666666666667,166.66666666666666,333.3333333333333,0.0,880.0,0.0,0.0,803.3333333333334,0.0,0.0
경남,산청군,0.0,0.0,0.0,0.0,40.0,60.0,115.0,225.0,0.0,1315.0,0.0,0.0,0.0,0.0,0.0
경남,양산시,0.0,0.0,0.0,0.0,35.0,62.5,250.0,475.0,832.5,1275.0,0.0,0.0,1175.0,0.0,0.0
경남,의령군,0.0,0.0,0.0,0.0,20.0,33.333333333333336,200.0,400.0,0.0,333.3333333333333,0.0,500.0,0.0,0.0,0.0
경남,진주시,0.0,0.0,0.0,0.0,0.0,160.0,300.0,590.0,0.0,1430.0,0.0,2140.0,0.0,0.0,0.0
경남,창녕군,0.0,0.0,0.0,0.0,0.0,30.0,143.33333333333334,106.66666666666667,413.3333333333333,260.0,0.0,813.3333333333334,0.0,0.0,0.0
경남,창원시,0.0,0.0,0.0,0.0,0.0,170.0,350.0,700.0,0.0,1790.0,0.0,2690.0,0.0,0.0,0.0
경남,통영시,0.0,0.0,0.0,0.0,60.0,93.33333333333333,173.33333333333334,333.3333333333333,0.0,413.3333333333333,0.0,616.6666666666666,0.0,0.0,0.0
경남,하동군,0.0,0.0,0.0,0.0,0.0,100.0,200.0,400.0,0.0,900.0,0.0,1350.0,0.0,0.0,0.0
경남,함안군,0.0,0.0,0.0,0.0,10.0,25.0,175.0,350.0,0.0,625.0,0.0,0.0,500.0,0.0,0.0
경남,함양군,0.0,0.0,0.0,0.0,30.0,50.0,100.0,200.0,0.0,1105.0,0.0,0.0,0.0,0.0,0.0
경남,합천군,0.0,0.0,0.0,0.0,23.333333333333332,60.0,113.33333333333333,376.6666666666667,173.33333333333334,633.3333333333334,0.0,440.0,0.0,0.0,0.0
경북,경산시,0.0,0.0,0.0,0.0,0.0,120.0,220.0,430.0,0.0,1050.0,0.0,0.0,2090.0,0.0,0.0
경북,경주시,0.0,0.0,0.0,0.0,0.0,30.0,286.6666666666667,233.33333333333334,346.6666666666667,283.3333333333333,0.0,446.6666666666667,0.0,0.0,0.0
경북,고령군,10.0,0.0,20.0,0.0,25.0,45.0,90.0,630.0,270.0,1600.0,0.0,675.0,900.0,0.0,0.0
경북,구미시,0.0,0.0,0.0,0.0,0.0,37.5,400.0,550.0,0.0,375.0,0.0,562.5,0.0,0.0,0.0
경북,군위군,0.0,0.0,0.0,0.0,0.0,70.0,130.0,240.0,0.0,600.0,0.0,0.0,1190.0,0.0,0.0
경북,김천시,0.0,0.0,0.0,0.0,0.0,100.0,180.0,350.0,0.0,860.0,0.0,1270.0,0.0,0.0,0.0
경북,문경시,0.0,0.0,0.0,0.0,0.0,70.0,140.0,270.0,0.0,650.0,0.0,0.0,1200.0,0.0,0.0
경북,봉화군,0.0,0.0,0.0,0.0,50.0,80.0,150.0,250.0,0.0,600.0,0.0,0.0,1200.0,0.0,0.0
경북,상주시,0.0,0.0,0.0,0.0,0.0,100.0,160.0,290.0,0.0,720.0,0.0,0.0,1430.0,0.0,0.0
경북,성주군,0.0,0.0,0.0,0.0,0.0,80.0,150.0,300.0,440.0,720.0,0.0,1070.0,1420.0,0.0,0.0
경북,안동시,0.0,0.0,0.0,0.0,15.0,60.0,150.0,225.0,0.0,180.0,0.0,0.0,360.0,0.0,0.0
경북,영덕군,0.0,0.0,0.0,0.0,0.0,0.0,130.0,250.0,0.0,600.0,0.0,0.0,1200.0,0.0,0.0
경북,영양군,0.0,0.0,0.0,0.0,10.0,15.0,75.0,150.0,0.0,240.0,0.0,0.0,480.0,0.0,0.0
경북,영주시,0.0,0.0,15.0,0.0,22.5,92.5,170.0,325.0,0.0,220.0,0.0,0.0,420.0,0.0,0.0
경북,영천시,0.0,0.0,0.0,0.0,0.0,90.0,180.0,360.0,0.0,450.0,0.0,675.0,900.0,0.0,0.0
경북,예천군,0.0,0.0,30.0,0.0,45.0,115.0,225.0,450.0,0.0,360.0,0.0,0.0,720.0,0.0,0.0
경북,울릉군,0.0,0.0,0.0,0.0,0.0,100.0,170.0,300.0,0.0,710.0,0.0,0.0,1420.0,0.0,0.0
경북,울진군,0.0,0.0,0.0,0.0,0.0,120.0,210.0,400.0,0.0,1050.0,0.0,1570.0,2100.0,0.0,0.0
경북,의성군,0.0,0.0,0.0,0.0,60.0,85.0,170.0,340.0,0.0,750.0,0.0,0.0,1500.0,0.0,0.0
경북,청도군,0.0,0.0,0.0,0.0,50.0,80.0,150.0,290.0,430.0,710.0,0.0,1060.0,1400.0,0.0,0.0
경북,청송군,0.0,0.0,0.0,0.0,40.0,55.0,100.0,195.0,0.0,455.0,0.0,0.0,925.0,0.0,0.0
경북,칠곡군,0.0,0.0,0.0,0.0,50.0,70.0,130.0,250.0,0.0,620.0,0.0,0.0,1230.0,0.0,0.0
경북,포항시,0.0,0.0,0.0,0.0,130.0,220.0,450.0,900.0,0.0,2250.0,0.0,0.0,4500.0,0.0,0.0
경북,포항시 남구,0.0,0.0,0.0,0.0,40.0,133.33333333333334,400.0,800.0,0.0,666.6666666666666,0.0,0.0,1333.3333333333333,0.0,0.0
광주,광산구,0.0,0.0,0.0,0.0,0.0,100.0,380.0,740.0,555.0,915.0,0.0,1365.0,0.0,0.0,0.0
광주,남구,0.0,0.0,0.0,0.0,0.0,200.0,380.0,740.0,555.0,915.0,0.0,1365.0,1820.0,0.0,0.0
광주,동구,0.0,0.0,0.0,0.0,0.0,200.0,380.0,740.0,1110.0,1830.0,0.0,2730.0,0.0,0.0,0.0
광주,북구,0.0,0.0,0.0,0.0,0.0,200.0,380.0,740.0,1110.0,1830.0,0.0,2730.0,3640.0,0.0,0.0
광주,서구,0.0,0.0,0.0,0.0,0.0,200.0,380.0,740.0,1110.0,1830.0,0.0,2730.0,0.0,0.0,0.0
광주,없음,0.0,0.0,0.0,0.0,0.0,200.0,380.0,740.0,1110.0,1830.0,0.0,2730.0,0.0,0.0,0.0
대구,남구,0.0,0.0,0.0,0.0,50.0,75.0,145.0,280.0,425.0,700.0,0.0,1040.0,1385.0,0.0,0.0
대구,달서구,0.0,0.0,0.0,0.0,100.0,150.0,290.0,560.0,850.0,1400.0,0.0,2080.0,2770.0,0.0,0.0
대구,달성군,0.0,0.0,0.0,0.0,0.0,150.0,290.0,560.0,850.0,1400.0,0.0,2080.0,2770.0,0.0,0.0
대구,동구,0.0,0.0,0.0,0.0,100.0,150.0,290.0,560.0,850.0,1400.0,0.0,0.0,2770.0,0.0,0.0
대구,북구,0.0,0.0,0.0,0.0,100.0,150.0,290.0,560.0,850.0,1400.0,0.0,2080.0,2770.0,0.0,0.0
대구,서구,0.0,0.0,0.0,0.0,100.0,150.0,290.0,560.0,850.0,1400.0,0.0,2080.0,2770.0,0.0,0.0
대구,수성구,0.0,0.0,0.0,0.0,100.0,150.0,290.0,560.0,0.0,1400.0,0.0,2080.0,2770.0,0.0,0.0
대구,중구,0.0,0.0,0.0,0.0,100.0,150.0,290.0,560.0,850.0,1400.0,0.0,2080.0,2770.0,0.0,0.0
대전,대덕구,0.0,0.0,0.0,0.0,33.333333333333336,56.666666666666664,220.0,440.0,0.0,1426.6666666666667,0.0,0.0,1100.0,0.0,0.0
대전,동구,0.0,0.0,0.0,0.0,40.0,68.0,264.0,528.0,0.0,1186.0,0.0,992.0,0.0,0.0,0.0
대전,유성구,0.0,0.0,0.0,0.0,100.0,170.0,330.0,660.0,0.0,1650.0,0.0,2480.0,0.0,0.0,0.0
대전,중구,0.0,0.0,0.0,0.0,50.0,85.0,330.0,660.0,0.0,825.0,0.0,1240.0,1650.0,0.0,0.0
부산,강서구,0.0,0.0,0.0,0.0,0.0,150.0,270.0,510.0,780.0,1240.0,0.0,1830.0,0.0,0.0,0.0
부산,금정구,0.0,0.0,0.0,0.0,0.0,110.0,430.0,850.0,640.0,1035.0,0.0,1540.0,0.0,0.0,0.0
부산,기장군,0.0,0.0,0.0,0.0,0.0,150.0,300.0,590.0,0.0,1470.0,0.0,2200.0,0.0,0.0,0.0
부산,남구,0.0,0.0,0.0,0.0,0.0,200.0,390.0,770.0,1150.0,1860.0,0.0,2770.0,0.0,0.0,0.0
