시도,시군구,발생량
전국,합계,"45,912.1"
서울,소계,"8,658.0"
서울,종로구,320.1
서울,중구,340.9
서울,용산구,285.0
서울,성동구,249.9
서울,광진구,299.4
서울,동대문구,395.9
서울,중랑구,319.4
서울,성북구,327.0
서울,강북구,239.9
서울,도봉구,281.0
서울,노원구,296.0
서울,은평구,344.0
서울,서대문구,225.6
서울,마포구,468.8
서울,양천구,305.6
서울,강서구,421.4
서울,구로구,306.3
서울,금천구,211.8
서울,영등포구,370.2
서울,동작구,286.3
서울,관악구,376.4
서울,서초구,447.2
서울,강남구,512.6
서울,송파구,651.1
서울,강동구,376.2
부산,소계,"2,951.0"
부산,중구,70.5
부산,서구,99.1
부산,동구,86.4
부산,영도구,114.8
부산,부산진구,321.0
부산,동래구,216.9
부산,남구,206.9
부산,북구,232.6
부산,해운대구,320.5
부산,사하구,324.1
부산,금정구,214.2
부산,강서구,93.0
부산,연제구,171.5
부산,수영구,140.9
부산,사상구,213.8
부산,기장군,124.8
대구,소계,"2,567.9"
대구,중구,140.2
대구,동구,352.4
대구,서구,217.2
대구,남구,166.7
대구,북구,441.1
대구,수성구,389.9
대구,달서구,595.8
대구,달성군,264.6
인천,소계,"1,913.8"
인천,중구,131.2
인천,동구,45.9
인천,미추홀구,276.8
인천,연수구,219.9
인천,남동구,337.8
인천,부평구,279.7
인천,계양구,201.6
인천,서구,355.1
인천,강화군,45.7
인천,옹진군,20.1
인천,경제청,0.0
광주,소계,"1,160.2"
광주,동구,92.5
광주,서구,235.6
광주,남구,148.3
광주,북구,330.1
광주,광산구,353.7
대전,소계,"1,286.7"
대전,동구,232.1
대전,중구,244.1
대전,서구,359.0
대전,유성구,295.6
대전,대덕구,155.9
울산,소계,"1,267.5"
울산,중구,229.4
울산,남구,397.7
울산,동구,196.0
울산,북구,222.3
울산,울주군,222.1
세종,소계,325.3
세종,세종시,325.3
경기,소계,"9,543.9"
경기,수원시,797.0
경기,고양시,770.9
경기,성남시,788.1
경기,용인시,898.1
경기,부천시,569.1
경기,안산시,534.9
경기,남양주시,426.2
경기,안양시,222.7
경기,화성시,369.1
경기,평택시,461.1
경기,의정부시,319.8
경기,시흥시,369.3
경기,파주시,403.8
경기,김포시,338.5
경기,광명시,220.9
경기,광주시,226.1
경기,군포시,207.9
경기,오산시,176.1
경기,이천시,225.9
경기,양주시,158.0
경기,안성시,132.3
경기,구리시,148.3
경기,포천시,139.1
경기,의왕시,74.0
경기,하남시,156.4
경기,여주시,96.8
경기,양평군,64.8
경기,동두천시,76.9
경기,과천시,60.7
경기,가평군,84.1
경기,연천군,27.0
강원,소계,"1,866.3"
강원,춘천시,225.8
강원,원주시,394.2
강원,강릉시,248.9
강원,동해시,132.2
강원,태백시,76.7
강원,속초시,124.0
강원,삼척시,118.9
강원,홍천군,89.7
강원,횡성군,51.3
강원,영월군,30.0
강원,평창군,53.1
강원,정선군,49.5
강원,철원군,47.2
강원,화천군,57.1
강원,양구군,30.3
강원,인제군,45.3
강원,고성군,37.1
강원,양양군,55.0
충북,소계,"1,906.1"
충북,청주시,986.0
충북,충주시,352.8
충북,제천시,135.3
충북,보은군,33.9
충북,옥천군,56.1
충북,영동군,43.0
충북,증평군,32.2
충북,진천군,76.6
충북,괴산군,39.9
충북,음성군,96.8
충북,단양군,53.5
충남,소계,"2,288.0"
충남,천안시,681.6
충남,공주시,124.7
충남,보령시,121.9
충남,아산시,505.4
충남,서산시,148.6
충남,논산시,144.8
충남,계룡시,35.8
충남,당진시,142.3
충남,금산군,37.6
충남,부여군,46.9
충남,서천군,55.8
충남,청양군,32.7
충남,홍성군,85.5
충남,예산군,70.9
충남,태안군,53.5
전북,소계,"1,578.1"
전북,전주시,535.9
전북,군산시,327.4
전북,익산시,222.0
전북,정읍시,84.8
전북,남원시,75.1
전북,김제시,71.3
전북,완주군,59.6
전북,진안군,20.1
전북,무주군,25.8
전북,장수군,22.5
전북,임실군,13.0
전북,순창군,20.1
전북,고창군,50.6
전북,부안군,49.9
전남,소계,"1,720.2"
전남,목포시,236.4
전남,여수시,436.0
전남,순천시,206.2
전남,나주시,76.0
전남,광양시,162.4
전남,담양군,15.4
전남,곡성군,21.0
전남,구례군,18.4
전남,고흥군,57.0
전남,보성군,27.0
전남,화순군,37.4
전남,장흥군,20.0
전남,강진군,29.4
전남,해남군,63.9
전남,영암군,46.9
전남,무안군,69.9
전남,함평군,18.3
전남,영광군,37.2
전남,장성군,31.8
전남,완도군,37.8
전남,진도군,32.5
전남,신안군,39.3
경북,소계,"2,367.1"
경북,포항시,396.4
경북,경주시,227.1
경북,김천시,77.2
경북,안동시,231.4
경북,구미시,300.1
경북,영주시,140.3
경북,영천시,76.8
경북,상주시,78.0
경북,문경시,92.7
경북,경산시,226.0
경북,군위군,24.1
경북,의성군,35.9
경북,청송군,33.7
경북,영양군,20.0
경북,영덕군,49.3
경북,청도군,30.6
경북,고령군,40.0
경북,성주군,29.7
경북,칠곡군,112.4
경북,예천군,31.0
경북,봉화군,41.3
경북,울진군,57.7
경북,울릉군,15.4
경남,소계,"3,552.8"
경남,창원시,"1,114.3"
경남,진주시,417.5
경남,통영시,172.8
경남,사천시,138.2
경남,김해시,507.4
경남,밀양시,96.1
경남,거제시,288.8
경남,양산시,316.5
경남,의령군,21.5
경남,함안군,101.2
경남,창녕군,54.1
경남,고성군,30.5
경남,남해군,41.6
경남,하동군,28.7
경남,산청군,37.2
경남,함양군,46.6
경남,거창군,97.3
경남,합천군,42.5
제주,소계,959.2
제주,제주시,697.6
제주,서귀포시,261.6
