시도,시군구,면적(㎢),인구(명),동(읍·면)수(개소)
전국,합계,"100,448.26","53,090,684","3,491"
서울,소계,605.24,"9,993,743",424
서울,종로구,23.91,"161,869",17
서울,중구,9.96,"136,488",15
서울,용산구,21.87,"245,185",16
서울,성동구,16.86,"308,979",17
서울,광진구,17.06,"366,972",15
서울,동대문구,14.22,"363,023",14
서울,중랑구,18.5,"402,024",16
서울,성북구,24.57,"454,744",20
서울,강북구,23.6,"317,695",13
서울,도봉구,20.66,"335,631",14
서울,노원구,35.44,"537,303",19
서울,은평구,29.71,"484,546",16
서울,서대문구,17.63,"323,171",14
서울,마포구,23.85,"385,925",16
서울,양천구,17.41,"462,285",18
서울,강서구,41.44,"598,273",20
서울,구로구,20.12,"439,371",15
서울,금천구,13.02,"251,820",10
서울,영등포구,24.55,"400,986",18
서울,동작구,16.35,"408,912",15
서울,관악구,29.57,"500,094",21
서울,서초구,46.98,"435,107",18
서울,강남구,39.5,"550,209",22
서울,송파구,33.87,"682,741",27
서울,강동구,24.59,"440,390",18
부산,소계,770.02,"3,459,840",206
부산,중구,2.83,"43,844",9
부산,서구,13.98,"110,106",13
부산,동구,9.86,"89,959",12
부산,영도구,14.2,"118,372",11
부산,부산진구,29.67,"360,541",20
부산,동래구,16.63,"272,214",13
부산,남구,26.81,"280,411",17
부산,북구,39.37,"293,412",13
부산,해운대구,51.47,"410,126",18
부산,사하구,41.77,"325,264",16
부산,금정구,65.27,"243,535",17
부산,강서구,181.49,"134,692",8
부산,연제구,12.1,"210,221",12
부산,수영구,10.21,"177,428",10
부산,사상구,36.09,"223,036",12
부산,기장군,218.27,"166,679",5
대구,소계,883.49,"2,468,222",139
대구,중구,7.06,"78,219",12
대구,동구,182.14,"347,376",20
대구,서구,17.33,"177,758",17
대구,남구,17.43,"149,660",13
대구,북구,93.98,"442,943",23
대구,수성구,76.53,"430,334",23
대구,달서구,62.34,"579,352",22
대구,달성군,426.68,"262,580",9
인천,소계,"1,063.27","3,029,285",154
인천,중구,140.29,"139,385",12
인천,동구,7.19,"65,362",11
인천,미추홀구,24.84,"418,494",21
인천,연수구,54.95,"379,727",14
인천,남동구,57.02,"545,131",20
인천,부평구,32.01,"526,126",22
인천,계양구,45.57,"306,817",12
인천,서구,117.09,"557,415",22
인천,강화군,411.41,"70,037",13
인천,옹진군,172.9,"20,791",7
인천,경제청,0,0,0
광주,소계,501.14,"1,480,293",95
광주,동구,49.31,"100,504",13
광주,서구,47.75,"302,666",18
광주,남구,61.02,"219,613",16
광주,북구,120.28,"438,734",27
광주,광산구,222.78,"418,776",21
대전,소계,539.63,"1,493,979",79
대전,동구,136.68,"232,012",16
대전,중구,62.18,"242,006",17
대전,서구,95.53,"485,026",23
대전,유성구,176.53,"355,516",11
대전,대덕구,68.71,"179,419",12
울산,소계,"1,062.04","1,168,469",56
울산,중구,37.01,"225,644",13
울산,남구,73.47,"328,932",14
울산,동구,36.07,"163,106",9
울산,북구,157.36,"220,323",8
울산,울주군,758.13,"230,464",12
세종,소계,464.95,"346,275",19
세종,세종시,464.95,"346,275",19
경기,소계,"10,192.52","13,653,984",543
경기,수원시,121.09,"1,235,022",44
경기,고양시,268.08,"1,078,859",39
경기,성남시,141.64,"960,342",50
경기,용인시,591.26,"1,078,591",31
경기,부천시,53.45,"855,685",10
경기,안산시,155.73,"707,385",25
경기,남양주시,458.12,"709,307",16
경기,안양시,58.46,"574,464",31
경기,화성시,697.77,"855,949",28
경기,평택시,458.24,"537,135",23
경기,의정부시,81.54,"456,776",14
경기,시흥시,138.66,"508,379",18
경기,파주시,673.23,"465,612",20
경기,김포시,276.61,"457,556",14
경기,광명시,38.53,"322,494",18
경기,광주시,430.99,"385,640",10
경기,군포시,36.42,"282,862",11
경기,오산시,42.71,"236,075",6
경기,이천시,461.42,"223,349",14
경기,양주시,310.39,"229,778",11
경기,안성시,553.42,"195,207",15
경기,구리시,33.33,"200,755",8
경기,포천시,826.96,"161,643",14
경기,의왕시,53.99,"162,344",6
경기,하남시,92.99,"274,734",13
경기,여주시,608.3,"114,659",12
경기,양평군,877.65,"118,374",12
경기,동두천시,95.66,"98,245",8
경기,과천시,35.87,"58,462",6
경기,가평군,843.69,"63,462",6
경기,연천군,676.32,"44,839",10
강원,소계,"16,875.28","1,560,571",193
강원,춘천시,"1,116.37","285,585",25
강원,원주시,868.24,"352,860",25
강원,강릉시,"1,040.78","215,911",21
강원,동해시,180.2,"91,453",10
강원,태백시,303.52,"44,124",8
강원,속초시,105.76,"82,824",8
강원,삼척시,"1,187.84","68,001",12
강원,홍천군,"1,820.31","70,065",10
강원,횡성군,998.07,"47,257",9
강원,영월군,"1,127.29","39,408",9
강원,평창군,"1,463.93","42,577",8
강원,정선군,"1,219.78","37,573",9
강원,철원군,889.68,"46,295",11
강원,화천군,908.93,"25,181",5
강원,양구군,705.25,"23,052",5
강원,인제군,"1,644.97","31,981",6
강원,고성군,664.28,"28,392",6
강원,양양군,630.08,"28,032",6
충북,소계,"7,406.84","1,633,854",153
충북,청주시,940.83,"848,270",43
충북,충주시,983.48,"216,838",25
충북,제천시,883.42,"139,762",17
충북,보은군,584.21,"35,823",11
충북,옥천군,537.22,"52,065",9
충북,영동군,846.02,"48,738",11
충북,증평군,81.81,"37,392",2
충북,진천군,407.3,"81,457",7
충북,괴산군,842.19,"39,163",11
충북,음성군,520.2,"104,248",9
충북,단양군,780.16,"30,098",8
충남,소계,"8,245.55","2,194,384",207
충남,천안시,636.08,"672,556",30
충남,공주시,864.15,"108,629",16
충남,보령시,586.56,"104,162",16
충남,아산시,542.8,"333,074",17
충남,서산시,742.03,"179,151",15
충남,논산시,555.58,"122,981",15
충남,계룡시,60.7,"43,188",4
충남,당진시,705.42,"173,024",14
충남,금산군,577.24,"54,596",10
충남,부여군,624.53,"67,984",16
충남,서천군,366.12,"54,205",13
충남,청양군,479.1,"32,359",10
충남,홍성군,446.7,"102,872",11
충남,예산군,542.65,"81,488",12
충남,태안군,515.89,"64,115",8
전북,소계,"8,069.13","1,849,962",243
전북,전주시,206.04,"663,098",35
전북,군산시,396.68,"276,232",27
전북,익산시,506.54,"292,916",29
전북,정읍시,693.04,"113,415",23
전북,남원시,752.19,"82,463",23
전북,김제시,545.86,"83,895",19
전북,완주군,821.06,"95,881",13
전북,진안군,789.09,"26,070",11
전북,무주군,631.76,"24,536",6
전북,장수군,533.2,"22,818",7
전북,임실군,597.22,"29,244",12
전북,순창군,495.79,"28,777",11
전북,고창군,607.48,"56,467",14
전북,부안군,493.18,"54,150",13
전남,소계,"12,345.20","1,903,383",297
전남,목포시,51.62,"233,175",23
전남,여수시,512.08,"287,479",27
전남,순천시,911.06,"281,722",24
전남,나주시,608.4,"117,445",20
전남,광양시,463.09,"158,437",12
전남,담양군,455.09,"47,533",12
전남,곡성군,547.47,"29,376",11
전남,구례군,443.24,"26,784",8
전남,고흥군,807.37,"65,972",16
전남,보성군,664.01,"41,908",12
전남,화순군,787.01,"63,646",13
전남,장흥군,622.34,"39,155",10
전남,강진군,500.92,"35,742",11
전남,해남군,"1,031.31","71,806",14
전남,영암군,612.56,"59,109",11
전남,무안군,449.71,"82,733",9
전남,함평군,392.1,"33,560",9
전남,영광군,474.96,"54,773",11
전남,장성군,518.4,"46,836",11
전남,완도군,396.76,"52,858",12
전남,진도군,440.1,"32,232",7
전남,신안군,655.6,"41,102",14
경북,소계,"19,033.34","2,719,702",332
경북,포항시,"1,130.08","513,104",29
경북,경주시,"1,324.86","267,196",23
경북,김천시,"1,009.80","143,620",22
경북,안동시,"1,522.10","161,533",24
경북,구미시,615.35,"420,468",27
경북,영주시,670.09,"106,170",19
경북,영천시,919.21,"105,719",16
경북,상주시,"1,254.64","101,678",24
경북,문경시,911.9,"72,924",14
경북,경산시,411.76,"274,898",15
경북,군위군,614.32,"24,381",8
경북,의성군,"1,174.73","53,237",18
경북,청송군,846.12,"25,623",8
경북,영양군,815.75,"17,198",6
경북,영덕군,741.22,"38,358",9
경북,청도군,693.81,"43,952",9
경북,고령군,384.06,"34,122",8
경북,성주군,616.11,"45,713",10
경북,칠곡군,450.94,"121,085",8
경북,예천군,661.48,"55,664",12
경북,봉화군,"1,202.03","32,464",10
경북,울진군,990.04,"50,810",10
경북,울릉군,72.94,"9,785",3
경남,소계,"10,540.39","3,438,081",308
경남,창원시,748.04,"1,059,813",58
경남,진주시,712.86,"352,553",30
경남,통영시,239.86,"135,366",15
경남,사천시,398.68,"115,342",14
경남,김해시,463.45,"561,468",19
경남,밀양시,798.67,"108,422",16
경남,거제시,403.23,"256,578",18
경남,양산시,485.6,"357,078",13
경남,의령군,482.91,"27,933",13
경남,함안군,416.6,"69,198",10
경남,창녕군,532.83,"65,120",14
경남,고성군,517.96,"53,532",14
경남,남해군,357.55,"44,483",10
경남,하동군,675.24,"47,099",13
경남,산청군,794.6,"36,025",11
경남,함양군,725.49,"40,141",11
경남,거창군,803.31,"62,726",12
경남,합천군,983.51,"45,204",17
제주,소계,"1,850.23","696,657",43
제주,제주시,978.67,"505,950",26
제주,서귀포시,871.56,"190,707",17
